title,brand,superbowl_ads_dot_com_url,youtube_url,year,funny,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
Bud Light: Post Malone #PostyStore Inside Post's Brain,Bud Light,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w,2020,TRUE,TRUE,TRUE,FALSE,FALSE,47752,485,14,14
"Super Bowl 2006: Bud Light ""Save Yourself""",Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8,2006,TRUE,FALSE,TRUE,TRUE,FALSE,142310,129,15,9
Hyundai / Hope Detector (2018),Hynudai,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,https://www.youtube.com/watch?v=lNPccrGk77A,2018,FALSE,FALSE,FALSE,FALSE,FALSE,198,2,0,0
bud light pick up,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,https://www.youtube.com/watch?v=ovQYgnXHooY,2003,TRUE,FALSE,TRUE,TRUE,TRUE,13741,20,3,2
Toyota Super Bowl Commercial 2020 Cobie Smulders Heroes,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk,2020,TRUE,TRUE,TRUE,TRUE,FALSE,23636,115,11,13
Coca-Cola Energy - Show Up ft. Jonah Hill & Martin Scorsese,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw,2020,TRUE,TRUE,FALSE,TRUE,FALSE,304254,1470,384,227
"Kia Seltos Super Bowl 2020 TV Commercial, 'Tough Never Quits'",Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A,2020,FALSE,TRUE,FALSE,FALSE,FALSE,17892,78,6,6
Hyundai: Super Bowl Commercial - Smaht Pahk,Hynudai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc,2020,TRUE,TRUE,FALSE,TRUE,FALSE,38385,342,7,30
Budweiser - Typical American,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8,2020,FALSE,TRUE,TRUE,FALSE,FALSE,782,7,0,0
[HD] 2010 Super Bowl Commercial | New Hyundai Super Bowl 44 XLIV Ad | Hyundai Body Pass 2011 Sonata,Hynudai,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/,https://www.youtube.com/watch?v=dWQqIeAYfK8,2010,FALSE,FALSE,FALSE,FALSE,FALSE,68458,46,14,8
[HD] Exclusive Bud Light Scientist 2010 SuperBowl 44 XLIV Commercial Ad,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=agISXMN4tng,2010,TRUE,FALSE,TRUE,FALSE,TRUE,3805,9,0,1
"2007 Super Bowl Commercials - Budweiser, King Crab",Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,https://www.youtube.com/watch?v=7KHlMJE84eA,2007,TRUE,FALSE,FALSE,TRUE,TRUE,184689,133,24,13
"Budweiser - Respect (2002, USA)",Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,https://www.youtube.com/watch?v=1MZUvib98Rs,2002,FALSE,FALSE,FALSE,TRUE,FALSE,121400,642,10,50
NEXT 100 || NFL Super Bowl LIV Commercial,NFL,https://superbowl-ads.com/2020-nfl-next-100/,https://www.youtube.com/watch?v=lbkafMhmvMo,2020,FALSE,TRUE,FALSE,FALSE,FALSE,26727063,175429,7445,8441
Super Bowl Baby Legends | Who’s Next? | Football is Family,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/,https://www.youtube.com/watch?v=9csH_Hy-7A4,2017,FALSE,FALSE,FALSE,FALSE,FALSE,865781,2315,130,162
Bud Light Cockato ad,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,https://www.youtube.com/watch?v=-gTWA5AsTP8,2005,TRUE,FALSE,TRUE,TRUE,TRUE,8990,29,0,3
Pepsi Max - I'm Good Super Bowl XLIII Commercial 2009,Pepsi,https://superbowl-ads.com/2009-pepsi-max-im-good/,https://www.youtube.com/watch?v=qUZaSf7T7ig,2009,TRUE,FALSE,TRUE,FALSE,FALSE,129399,345,12,42
Frank the Monkey Bud Light,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,https://www.youtube.com/watch?v=mjN3OY9Eefk,2004,TRUE,FALSE,FALSE,TRUE,TRUE,3739,115,1,59
"Doritos Super Bowl Commercial 2020 Lil Nas X, Sam Elliott The Cool Ranch",Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,https://www.youtube.com/watch?v=6xVnq31Vk8Y,2020,TRUE,TRUE,TRUE,TRUE,FALSE,1990447,10717,576,319
Bud Light Slap,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,https://www.youtube.com/watch?v=aOfRpCp6Pgw,2007,TRUE,FALSE,TRUE,FALSE,FALSE,72997,86,30,33
Pepsi | Zero Sugar | SuperBowl Commercials 2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,https://www.youtube.com/watch?v=Ozb_fJB_z6o,2020,FALSE,TRUE,FALSE,FALSE,FALSE,29219,146,38,29
Ad Meter 2019: Hyundai,Hynudai,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/,https://www.youtube.com/watch?v=6mfJ0EsqLWs,2019,TRUE,TRUE,FALSE,FALSE,FALSE,38968,216,15,0
Budweiser - Clydesdale Generations Super Bowl XLIII Commercial 2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/,https://www.youtube.com/watch?v=ukpnHh4eEeQ,2009,FALSE,FALSE,FALSE,TRUE,FALSE,302143,527,15,36
Kia Optima - One Epic Ride,Kia,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/,https://www.youtube.com/watch?v=8FMU5yPZgwM,2011,TRUE,FALSE,TRUE,FALSE,TRUE,36832,200,7,12
Doritos Super Bowl commercial with Chance the Rapper & Backstreet Boys,Doritos,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/,https://www.youtube.com/watch?v=NvIcPAxZ39o,2019,FALSE,TRUE,FALSE,FALSE,FALSE,41828,683,14,46
Pepsi: More Than OK,Pepsi,https://superbowl-ads.com/2019-pepsi-more-than-ok/,https://www.youtube.com/watch?v=64UH1_D95gQ,2019,TRUE,TRUE,FALSE,FALSE,TRUE,69050,773,37,65
Hyundai Sonata Turbo Super Bowl Commercial 2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,https://www.youtube.com/watch?v=WTf0XGpINJI,2013,TRUE,FALSE,TRUE,TRUE,FALSE,4302,22,0,2
Ad Meter 2019: NFL,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,https://www.youtube.com/watch?v=sl8ooTIMk2w,2019,TRUE,TRUE,FALSE,FALSE,FALSE,77720,680,15,82
Coca-Cola Border SUPER BOWL COMMERCIAL 2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-border/,https://www.youtube.com/watch?v=Aw6-aXMBseo,2011,FALSE,FALSE,FALSE,FALSE,FALSE,113771,235,8,29
Michael Buble vs Bubly Super Bowl 2019 Commercial,Pepsi,https://superbowl-ads.com/2019-pepsi-bubly-buble/,https://www.youtube.com/watch?v=I-_Uh-vZXgo,2019,TRUE,TRUE,FALSE,FALSE,FALSE,128792,961,15,35
Super Bowl 2016: Hyundai Chase Ad,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0,2016,TRUE,FALSE,TRUE,TRUE,FALSE,5049,40,3,1
